timestamp,open,high,low,close,datetime
1619856000000,58105.85,58105.85,58105.85,58105.85,2021-05-01 10:00:00
1619870400000,57815.47,57815.47,57474.99,57474.99,2021-05-01 14:00:00
1619884800000,57943.63,57943.63,57500.78,57500.78,2021-05-01 18:00:00
1619899200000,57368.69,57642.49,57368.69,57610.31,2021-05-01 22:00:00
1619913600000,57801.71,57801.71,57403.38,57669.86,2021-05-02 02:00:00
1619928000000,57812.97,57812.97,57444.43,57671.76,2021-05-02 06:00:00
1619942400000,56629.78,57009.1,56629.78,56874.43,2021-05-02 10:00:00
1619956800000,56652.78,56992.62,56387.96,56992.62,2021-05-02 14:00:00
1619971200000,57181.09,57181.09,56902.91,56924.33,2021-05-02 18:00:00
1619985600000,56636.44,56860.28,56636.44,56860.28,2021-05-02 22:00:00
1620000000000,56917.56,56927.31,56433.45,56433.45,2021-05-03 02:00:00
1620014400000,56600.75,58130.78,56600.75,58070.48,2021-05-03 06:00:00
1620028800000,57930.5,58021.67,57787.24,57900.0,2021-05-03 10:00:00
1620043200000,58833.86,58833.86,58491.11,58493.59,2021-05-03 14:00:00
1620057600000,58757.3,58757.3,57839.06,57992.34,2021-05-03 18:00:00
1620072000000,57699.96,58080.64,57699.96,57831.48,2021-05-03 22:00:00
1620086400000,57430.18,57430.18,56969.14,57336.83,2021-05-04 02:00:00
1620100800000,57152.91,57152.91,55689.52,55801.24,2021-05-04 06:00:00
1620115200000,55456.72,56215.95,55456.72,56080.9,2021-05-04 10:00:00
1620129600000,55985.94,56408.94,55770.89,56408.94,2021-05-04 14:00:00
1620144000000,56139.34,56245.37,53772.05,53772.05,2021-05-04 18:00:00
1620158400000,54365.84,54645.32,53612.74,54645.32,2021-05-04 22:00:00
1620172800000,54508.34,54801.05,54151.08,54151.08,2021-05-05 02:00:00
1620187200000,53464.37,55436.75,53464.37,55032.8,2021-05-05 06:00:00
1620201600000,54935.74,54935.74,54488.37,54507.32,2021-05-05 10:00:00
1620216000000,55039.78,55504.98,55039.78,55504.98,2021-05-05 14:00:00
1620230400000,55149.08,57332.24,55149.08,57332.24,2021-05-05 18:00:00
1620244800000,57674.24,57674.24,57312.07,57312.07,2021-05-05 22:00:00
1620259200000,57041.56,57215.27,56819.26,57215.27,2021-05-06 02:00:00
1620273600000,57432.1,57432.1,56886.36,57024.4,2021-05-06 06:00:00
1620288000000,56829.43,57132.03,56606.66,56606.66,2021-05-06 10:00:00
1620302400000,56772.01,57999.35,56772.01,57999.35,2021-05-06 14:00:00
1620316800000,57969.71,57969.71,57310.62,57310.62,2021-05-06 18:00:00
1620331200000,57032.37,57032.37,55774.66,55774.66,2021-05-06 22:00:00
1620345600000,56280.1,56478.83,55997.26,56478.83,2021-05-07 02:00:00
1620360000000,56507.76,56572.23,55847.65,55847.65,2021-05-07 06:00:00
1620374400000,55847.11,56224.55,55847.11,56224.55,2021-05-07 10:00:00
1620388800000,55920.61,56623.7,55920.61,56623.7,2021-05-07 14:00:00
1620403200000,56590.52,57484.54,56590.52,57121.2,2021-05-07 18:00:00
1620417600000,57687.73,58139.01,57687.73,57944.28,2021-05-07 22:00:00
1620432000000,57638.19,57638.19,57128.61,57128.61,2021-05-08 02:00:00
1620446400000,57361.57,58284.35,57361.57,58284.35,2021-05-08 06:00:00
1620460800000,58106.36,58120.24,57747.48,57747.48,2021-05-08 10:00:00
1620475200000,58482.21,58946.0,58482.21,58541.57,2021-05-08 14:00:00
1620489600000,58598.3,59271.44,58598.3,59111.94,2021-05-08 18:00:00
1620504000000,57945.79,59122.18,57945.79,59122.18,2021-05-08 22:00:00
1620518400000,59052.34,59052.34,58603.92,58603.92,2021-05-09 02:00:00
1620532800000,58771.88,59092.64,58487.67,58629.83,2021-05-09 06:00:00
1620547200000,58810.87,58810.87,58187.26,58384.27,2021-05-09 10:00:00
1620561600000,58022.03,58214.96,57943.18,58048.35,2021-05-09 14:00:00
1620576000000,57956.7,57956.7,56636.68,57302.22,2021-05-09 18:00:00
1620590400000,57396.24,57618.74,57396.24,57535.26,2021-05-09 22:00:00
1620604800000,57347.57,58071.98,57347.57,58050.13,2021-05-10 02:00:00
1620619200000,58213.93,59005.01,58213.93,58909.0,2021-05-10 06:00:00
1620633600000,59577.8,59577.8,58849.82,58849.82,2021-05-10 10:00:00
1620648000000,58495.02,58495.02,57878.12,57878.12,2021-05-10 14:00:00
1620662400000,58239.57,58239.57,57237.93,57237.93,2021-05-10 18:00:00
1620676800000,58114.79,58114.79,56850.29,56850.29,2021-05-10 22:00:00
1620691200000,56010.83,56274.44,55240.32,56274.44,2021-05-11 02:00:00
1620705600000,55901.67,55901.67,54951.21,54951.21,2021-05-11 06:00:00
1620720000000,55160.05,55729.08,55037.47,55729.08,2021-05-11 10:00:00
1620734400000,55673.43,56039.23,55433.92,55829.54,2021-05-11 14:00:00
1620748800000,55307.32,55807.14,55233.39,55807.14,2021-05-11 18:00:00
1620763200000,56188.4,56495.11,56151.35,56495.11,2021-05-11 22:00:00
1620777600000,56589.31,56824.63,56430.9,56430.9,2021-05-12 02:00:00
1620792000000,56928.97,57248.06,56928.97,57089.14,2021-05-12 06:00:00
1620806400000,57781.57,57781.57,57046.73,57046.73,2021-05-12 10:00:00
1620820800000,57201.9,57201.9,56112.95,56112.95,2021-05-12 14:00:00
1620835200000,56438.0,56706.62,56088.16,56170.18,2021-05-12 18:00:00
1620849600000,55583.7,55583.7,54257.82,54257.82,2021-05-12 22:00:00
1620864000000,54313.58,54469.15,52906.53,52906.53,2021-05-13 02:00:00
1620878400000,50004.76,50476.41,49939.67,50476.41,2021-05-13 06:00:00
1620892800000,50736.87,51259.47,50430.58,51259.47,2021-05-13 10:00:00
1620907200000,50805.9,50805.9,49092.83,49119.06,2021-05-13 14:00:00
1620921600000,50047.43,50506.93,50047.43,50356.7,2021-05-13 18:00:00
1620936000000,49926.37,49926.37,48267.78,48267.78,2021-05-13 22:00:00
1620950400000,48725.28,49596.66,48725.28,49333.97,2021-05-14 02:00:00
1620964800000,49972.8,50095.88,49636.69,49636.69,2021-05-14 06:00:00
1620979200000,49203.99,49824.61,49049.42,49049.42,2021-05-14 10:00:00
1620993600000,50024.0,50846.15,50024.0,50846.15,2021-05-14 14:00:00
1621008000000,50591.98,51091.72,50334.74,50839.23,2021-05-14 18:00:00
